image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
liver_0,46,CT,0.5349,0.2881,0.4792,0.4884,126,50,46,262144,[2],0.6433
liver_0,56,CT,0.6135,0.0348,0.6355,0.3793,391,126,173,262144,[2],0.3416
liver_0,57,CT,0.0406,0.0097,0.0283,0.0621,2539,3727,368,262144,[2],0.3485
liver_0,58,CT,0.0,0.0,0.0388,0.0518,3973,6876,538,262144,[2],0.3401
liver_0,59,CT,0.38,0.1765,0.3563,0.3041,1507,1015,377,262144,[2],0.3394
liver_0,60,CT,0.0539,0.0516,0.0,0.0,3745,3043,189,262144,[2],0.3345
liver_0,61,CT,0.8378,0.8551,0.8293,0.9062,129,112,93,262144,[2],0.347
liver_0,62,CT,0.4138,0.5312,0.2979,0.5862,46,35,12,262144,[2],0.335
liver_0,65,CT,0.2535,0.129,0.3158,0.875,62,10,9,262144,[2],0.3421
liver_0,66,CT,0.0027,0.0276,0.0,0.0,10414,10785,150,262144,[2],0.3438
liver_0,67,CT,0.5309,0.1266,0.7333,0.8615,202,107,73,262144,[2],0.3526
liver_0,68,CT,0.3235,0.2031,0.4468,0.6667,171,61,33,262144,[2],0.3485
liver_0,69,CT,0.0171,0.0381,0.0,0.0,3132,3717,136,262144,[2],0.3943
liver_0,70,CT,0.4615,0.4889,0.5429,0.6857,84,37,33,262144,[2],0.3837
liver_0,71,CT,0.5635,0.0244,0.781,0.6463,441,142,173,262144,[2],0.4277
liver_0,72,CT,0.7176,0.3063,0.638,0.475,336,91,188,262144,[2],0.7339
liver_1,56,CT,0.3411,0.0187,0.3592,0.3333,321,179,66,262144,[2],0.3975
liver_1,57,CT,0.0,0.0,0.0348,0.0565,6482,6401,846,262144,[2],0.4576
liver_1,58,CT,0.0,0.0,0.1591,0.0625,4042,6996,986,262144,[2],0.4483
liver_1,59,CT,0.4747,0.1325,0.4969,0.2368,2086,1605,661,262144,[2],0.4207
liver_1,60,CT,0.135,0.0646,0.0756,0.0355,5117,4414,481,262144,[2],0.4392
liver_1,61,CT,0.0161,0.0808,0.0105,0.068,5347,5146,356,262144,[2],0.4219
liver_1,62,CT,0.8932,0.8387,0.7979,0.4286,361,453,304,262144,[2],0.4393
liver_1,63,CT,0.6103,0.6136,0.5736,0.5783,187,180,85,262144,[2],0.464
liver_1,64,CT,0.4393,0.1014,0.6496,0.64,167,70,47,262144,[2],0.4274
liver_1,65,CT,0.0081,0.0342,0.0,0.005,11809,14950,227,262144,[2],0.412
liver_1,66,CT,0.062,0.0454,0.0311,0.0237,9844,13466,445,262144,[2],0.4082
liver_1,67,CT,0.0691,0.1097,0.125,0.1496,4634,3633,288,262144,[2],0.4401
liver_1,68,CT,0.0,0.0,0.0012,0.0202,2709,4594,404,262144,[2],0.406
liver_1,69,CT,0.8119,0.6695,0.8637,0.6796,303,287,234,262144,[2],0.3799
liver_1,70,CT,0.0467,0.0822,0.0731,0.0805,4331,11008,595,262144,[2],0.39
liver_1,71,CT,0.0311,0.1124,0.0146,0.0748,3669,6696,580,262144,[2],0.4287
liver_1,72,CT,0.7737,0.3275,0.6608,0.3209,594,300,378,262144,[2],0.4312
liver_1,73,CT,0.4567,0.0444,0.5915,0.4752,713,188,211,262144,[2],0.4037
liver_10,327,CT,0.3784,0.4722,0.4242,0.4706,60,52,14,262144,[2],0.4812
liver_10,328,CT,0.5282,0.1795,0.6074,0.5962,209,60,75,262144,[2],0.4043
liver_10,329,CT,0.5127,0.1534,0.6239,0.2735,557,151,192,262144,[2],0.3945
liver_10,330,CT,0.7112,0.3193,0.7172,0.4914,685,255,378,262144,[2],0.4236
liver_10,331,CT,0.6881,0.082,0.5844,0.3934,795,223,417,262144,[2],0.4206
liver_10,332,CT,0.7006,0.0878,0.7903,0.295,907,374,489,262144,[2],0.4274
liver_10,333,CT,0.6592,0.0882,0.7487,0.2639,1135,385,558,262144,[2],0.3766
liver_10,334,CT,0.7115,0.1538,0.7036,0.2721,1127,348,627,262144,[2],0.387
liver_10,335,CT,0.7203,0.145,0.6315,0.1689,1256,354,707,262144,[2],0.3758
liver_10,336,CT,0.8391,0.4751,0.6286,0.2267,1038,352,752,262144,[2],0.3929
liver_10,337,CT,0.7636,0.2364,0.8366,0.4329,1258,569,777,262144,[2],0.3819
liver_10,338,CT,0.7706,0.2322,0.769,0.2454,1254,491,786,262144,[2],0.3866
liver_10,339,CT,0.8446,0.4321,0.7824,0.3195,1078,570,795,262144,[2],0.3926
liver_10,340,CT,0.8137,0.4397,0.7957,0.2456,1144,595,810,262144,[2],0.4277
liver_10,341,CT,0.9067,0.6493,0.8292,0.3448,921,584,815,262144,[2],0.4347
liver_10,342,CT,0.9194,0.8255,0.8284,0.3182,896,648,803,262144,[2],0.3802
liver_10,343,CT,0.84,0.4057,0.8033,0.3295,942,598,739,262144,[2],0.389
liver_10,344,CT,0.7912,0.3474,0.8296,0.3593,978,584,660,262144,[2],0.3734
liver_10,345,CT,0.7992,0.3516,0.8454,0.6178,866,486,588,262144,[2],0.3942
liver_10,346,CT,0.868,0.5819,0.7836,0.4422,604,376,525,262144,[2],0.4264
liver_10,347,CT,0.6335,0.2833,0.8184,0.5174,1011,612,495,262144,[2],0.4381
liver_10,348,CT,0.5603,0.2917,0.5327,0.175,1178,392,464,262144,[2],0.42
liver_10,349,CT,0.519,0.2863,0.4314,0.2597,987,264,385,262144,[2],0.4374
liver_10,350,CT,0.4834,0.289,0.16,0.2969,929,167,308,262144,[2],0.4325
liver_10,351,CT,0.8304,0.7624,0.7584,0.4524,269,165,191,262144,[2],0.3983
liver_10,352,CT,0.7558,0.2788,0.9136,0.9405,321,164,195,262144,[2],0.3767
liver_10,353,CT,0.7317,0.283,0.8644,0.6596,338,240,195,262144,[2],0.3717
liver_10,354,CT,0.7283,0.3364,0.7933,0.5213,351,278,201,262144,[2],0.3694
liver_10,355,CT,0.6819,0.1892,0.8504,0.7882,375,187,194,262144,[2],0.3792
liver_10,356,CT,0.7049,0.2571,0.7697,0.5875,305,151,166,262144,[2],0.3906
liver_10,357,CT,0.721,0.3368,0.8302,0.7875,259,172,146,262144,[2],0.4244
liver_10,358,CT,0.8079,0.679,0.7935,0.6125,179,187,123,262144,[2],0.4518
liver_10,367,CT,0.1667,0.0,0.2069,0.4737,44,25,4,262144,[2],0.4355
liver_10,368,CT,0.6528,0.3906,0.7394,0.6842,130,102,63,262144,[2],0.3788
liver_10,369,CT,0.6099,0.1636,0.5959,0.404,294,210,129,262144,[2],0.3834
liver_10,370,CT,0.8421,0.6604,0.4224,0.1591,319,161,232,262144,[2],0.3906
liver_10,371,CT,0.9073,0.9068,0.5629,0.1364,340,286,286,262144,[2],0.413
liver_10,372,CT,0.8715,0.7538,0.6639,0.216,427,372,351,262144,[2],0.4384
liver_10,373,CT,0.8665,0.6345,0.7491,0.1242,550,708,424,262144,[2],0.3848
liver_10,374,CT,0.9037,0.7823,0.7685,0.1429,529,734,458,262144,[2],0.3732
liver_10,375,CT,0.9147,0.8523,0.7903,0.1728,537,721,471,262144,[2],0.3826
liver_10,376,CT,0.8873,0.7351,0.789,0.2152,530,726,473,262144,[2],0.4264
liver_10,377,CT,0.8999,0.7867,0.7947,0.3291,547,731,482,262144,[2],0.4013
liver_10,378,CT,0.9202,0.82,0.8526,0.5949,535,647,493,262144,[2],0.3858
liver_10,379,CT,0.9137,0.7483,0.8263,0.5779,545,665,475,262144,[2],0.3819
liver_10,380,CT,0.8688,0.6351,0.7677,0.1678,512,671,418,262144,[2],0.4036
liver_10,381,CT,0.8153,0.5159,0.5261,0.1667,532,248,383,262144,[2],0.4228
liver_10,382,CT,0.8824,0.7259,0.5393,0.2523,400,212,348,262144,[2],0.4262
liver_10,383,CT,0.8649,0.6457,0.5161,0.1316,390,283,306,262144,[2],0.4357
liver_10,384,CT,0.7871,0.5086,0.7305,0.4158,302,253,196,262144,[2],0.3906
liver_10,385,CT,0.6602,0.1471,0.7692,0.6625,278,136,137,262144,[2],0.3874
liver_10,386,CT,0.5176,0.1744,0.6731,0.5942,232,127,81,262144,[2],0.3824
liver_10,387,CT,0.3915,0.1429,0.5,0.2833,189,138,46,262144,[2],0.3855
liver_10,388,CT,0.3191,0.2619,0.2651,0.3333,79,68,15,262144,[2],0.3441
liver_10,426,CT,0.1493,0.069,0.0,0.0,62,12,5,262144,[2],0.5643
liver_10,427,CT,0.233,0.0513,0.3226,0.5152,91,50,12,262144,[2],0.3505
liver_10,428,CT,0.4966,0.3077,0.5714,0.65,109,55,36,262144,[2],0.3555
liver_10,429,CT,0.6418,0.3973,0.4181,0.2586,182,91,86,262144,[2],0.363
liver_10,430,CT,0.5749,0.4405,0.2762,0.2459,227,110,100,262144,[2],0.3391
liver_10,431,CT,0.6207,0.4615,0.419,0.2308,188,108,102,262144,[2],0.36
liver_10,432,CT,0.557,0.3012,0.6298,0.5625,207,90,91,262144,[2],0.3893
liver_10,433,CT,0.5217,0.3134,0.7544,0.8776,168,52,62,262144,[2],0.3948
liver_10,434,CT,0.5065,0.2909,0.7609,0.8837,114,52,40,262144,[2],0.3844
liver_10,435,CT,0.3273,0.2444,0.6129,0.7429,90,42,20,262144,[2],0.3888
liver_10,456,CT,0.2632,0.3182,0.2,0.2857,33,45,5,262144,[2],0.6935
liver_10,457,CT,0.4615,0.5,0.375,0.7059,89,36,28,262144,[2],0.4008
liver_10,458,CT,0.3826,0.1463,0.28,0.4,241,43,57,262144,[2],0.3796
liver_10,459,CT,0.5011,0.1589,0.3687,0.25,350,62,117,262144,[2],0.3915
liver_10,460,CT,0.6056,0.2149,0.4126,0.1948,372,123,163,262144,[2],0.4159
liver_10,461,CT,0.7576,0.5825,0.6235,0.4146,286,148,176,262144,[2],0.4405
liver_10,462,CT,0.2583,0.2029,0.1278,0.1399,1377,854,210,262144,[2],0.4409
liver_10,463,CT,0.2045,0.1995,0.1058,0.0957,3564,2060,436,262144,[2],0.4317
liver_10,464,CT,0.1961,0.2703,0.0897,0.1792,3372,1703,392,262144,[2],0.4571
liver_10,465,CT,0.1563,0.227,0.0894,0.1608,3246,1616,286,262144,[2],0.4318
liver_10,466,CT,0.1231,0.2078,0.1492,0.1957,3166,1523,247,262144,[2],0.4324
liver_10,467,CT,0.2603,0.3042,0.1514,0.0914,1499,1117,230,262144,[2],0.418
liver_10,468,CT,0.8225,0.6061,0.6712,0.6092,272,102,190,262144,[2],0.4192
liver_10,469,CT,0.7264,0.3981,0.3772,0.2857,277,70,158,262144,[2],0.3947
liver_10,470,CT,0.6585,0.13,0.3707,0.303,273,71,134,262144,[2],0.3876
liver_10,471,CT,0.4776,0.0,0.7011,0.7193,204,110,64,262144,[2],0.4311
liver_10,472,CT,0.3333,0.2,0.4444,0.5641,110,50,22,262144,[2],0.4038
liver_100,406,CT,0.4348,0.5758,0.2979,0.6774,54,32,15,262144,[2],0.5215
liver_100,407,CT,0.6263,0.7447,0.2857,0.5424,65,64,34,262144,[2],0.3777
liver_100,408,CT,0.6705,0.4655,0.8361,0.98,117,63,59,262144,[2],0.3826
liver_100,409,CT,0.7792,0.7778,0.569,0.4468,94,56,60,262144,[2],0.3691
liver_100,410,CT,0.7251,0.6607,0.6565,0.6078,107,67,64,262144,[2],0.3884
