image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
liver_0,45,CT,0.6327,0.119,0.6217,0.2321,2399,2461,1110,262144,[1],0.6948
liver_0,46,CT,0.8549,0.3926,0.9272,0.7261,2996,2380,2247,262144,[1],0.4089
liver_0,47,CT,0.8191,0.4825,0.8551,0.5156,4166,3569,3057,262144,[1],0.4014
liver_0,48,CT,0.6335,0.2874,0.7105,0.4527,9100,7597,4260,262144,[1],0.4124
liver_0,49,CT,0.7313,0.3139,0.8261,0.4048,13692,11017,8172,262144,[1],0.4128
liver_0,50,CT,0.7907,0.3908,0.9361,0.5834,15427,11232,10095,262144,[1],0.4013
liver_0,51,CT,0.8205,0.4954,0.9422,0.5888,16464,12691,11462,262144,[1],0.4055
liver_0,52,CT,0.8805,0.5317,0.9713,0.6698,17012,13264,13426,262144,[1],0.4172
liver_0,53,CT,0.7913,0.31,0.9258,0.5617,22203,16268,14606,262144,[1],0.4104
liver_0,54,CT,0.8366,0.3441,0.8138,0.2615,20733,21749,16060,262144,[1],0.4102
liver_0,55,CT,0.8136,0.2782,0.8644,0.3518,23446,21103,18033,262144,[1],0.3916
liver_0,56,CT,0.7571,0.2562,0.6812,0.1889,28527,38737,20812,262144,[1],0.4218
liver_0,57,CT,0.7349,0.1846,0.7876,0.1638,33980,35995,23979,262144,[1],0.3949
liver_0,58,CT,0.7709,0.1867,0.8896,0.2378,38402,31779,26634,262144,[1],0.4206
liver_0,59,CT,0.8878,0.2805,0.9488,0.623,34540,27996,29024,262144,[1],0.4041
liver_0,60,CT,0.8418,0.1655,0.9677,0.5769,41927,31379,30501,262144,[1],0.4105
liver_0,61,CT,0.8766,0.2965,0.9656,0.6299,40241,31280,31493,262144,[1],0.399
liver_0,62,CT,0.9402,0.323,0.9689,0.7333,35569,31638,32725,262144,[1],0.4066
liver_0,63,CT,0.8956,0.2066,0.9756,0.7694,41133,33044,33384,262144,[1],0.4029
liver_0,64,CT,0.8245,0.1887,0.982,0.6611,48222,33830,33854,262144,[1],0.4138
liver_0,65,CT,0.8507,0.2514,0.9598,0.5432,45777,33661,34317,262144,[1],0.4151
liver_0,66,CT,0.849,0.2189,0.9654,0.5439,44216,32399,32758,262144,[1],0.4152
liver_0,67,CT,0.91,0.1775,0.9505,0.4095,37281,29479,31162,262144,[1],0.3996
liver_0,68,CT,0.8756,0.045,0.9131,0.4066,36842,26787,28691,262144,[1],0.4122
liver_0,69,CT,0.868,0.0535,0.8489,0.2837,29323,19594,22486,262144,[1],0.4057
liver_0,70,CT,0.8742,0.0979,0.7544,0.1668,23431,16954,18193,262144,[1],0.4026
liver_0,71,CT,0.7586,0.0842,0.8318,0.214,20025,15061,12272,262144,[1],0.3996
liver_0,72,CT,0.6523,0.2022,0.7573,0.193,8645,6882,4453,262144,[1],0.3941
liver_0,73,CT,0.5647,0.0,0.8275,0.3628,1957,934,770,262144,[1],0.4135
liver_1,45,CT,0.0355,0.0,0.1622,0.4375,443,66,8,262144,[1],0.4019
liver_1,46,CT,0.5488,0.3761,0.7669,0.4066,2811,1787,1147,262144,[1],0.4097
liver_1,47,CT,0.811,0.3822,0.8451,0.4016,3078,3095,2303,262144,[1],0.4006
liver_1,48,CT,0.8733,0.508,0.8398,0.3083,4701,5136,3926,262144,[1],0.4065
liver_1,49,CT,0.9588,0.6667,0.9232,0.1951,5887,6392,5684,262144,[1],0.4015
liver_1,50,CT,0.6934,0.3632,0.5801,0.1123,18973,16878,10100,262144,[1],0.4054
liver_1,51,CT,0.8224,0.2999,0.899,0.4113,18099,15162,12729,262144,[1],0.418
liver_1,52,CT,0.8732,0.3317,0.9408,0.4495,18829,16302,14620,262144,[1],0.4097
liver_1,53,CT,0.8194,0.3571,0.6422,0.0865,22300,26574,15653,262144,[1],0.409
liver_1,54,CT,0.7033,0.2869,0.4596,0.1271,30162,28180,16912,262144,[1],0.4038
liver_1,55,CT,0.8167,0.321,0.6667,0.113,23453,37729,19917,262144,[1],0.4114
liver_1,56,CT,0.69,0.231,0.6602,0.1204,37392,44042,22947,262144,[1],0.4134
liver_1,57,CT,0.6978,0.2475,0.8347,0.3884,42470,32373,23487,262144,[1],0.4126
liver_1,58,CT,0.7597,0.2479,0.9436,0.4928,42183,30318,31518,262144,[1],0.4105
liver_1,59,CT,0.7642,0.2287,0.8903,0.3574,48292,30318,32588,262144,[1],0.4168
liver_1,60,CT,0.8522,0.2812,0.9562,0.5188,46580,33825,35711,262144,[1],0.4041
liver_1,61,CT,0.771,0.4101,0.9604,0.6183,58486,35252,37003,262144,[1],0.4029
liver_1,62,CT,0.8018,0.3484,0.9575,0.5716,57867,37058,38940,262144,[1],0.4151
liver_1,63,CT,0.8321,0.4124,0.9685,0.6305,55191,38278,39878,262144,[1],0.4188
liver_1,64,CT,0.7948,0.3536,0.9736,0.6506,60719,40197,40078,262144,[1],0.4117
liver_1,65,CT,0.8858,0.2704,0.9749,0.657,51394,40634,40947,262144,[1],0.4074
liver_1,66,CT,0.9159,0.2933,0.9646,0.5241,47250,39643,40096,262144,[1],0.4084
liver_1,67,CT,0.8895,0.1466,0.9641,0.5593,47738,38172,38448,262144,[1],0.4092
liver_1,68,CT,0.853,0.0287,0.9619,0.5495,47076,35931,35008,262144,[1],0.4166
liver_1,69,CT,0.9091,0.0187,0.7874,0.0868,36707,26813,30591,262144,[1],0.4091
liver_1,70,CT,0.8314,0.1299,0.8413,0.1203,25370,21946,23075,262144,[1],0.4169
liver_1,71,CT,0.8116,0.1545,0.7464,0.0824,20457,17502,17201,262144,[1],0.4061
liver_1,72,CT,0.7902,0.0684,0.6207,0.1126,18968,13913,13264,262144,[1],0.4087
liver_10,295,CT,0.2038,0.0,0.2425,0.0,714,587,81,262144,[1],0.5394
liver_10,296,CT,0.4067,0.0,0.4878,0.0364,862,682,220,262144,[1],0.397
liver_10,297,CT,0.5565,0.0345,0.6356,0.2378,817,673,315,262144,[1],0.4035
liver_10,298,CT,0.6199,0.1,0.6019,0.1047,855,882,384,262144,[1],0.3954
liver_10,299,CT,0.8466,0.4332,0.7149,0.2009,748,945,549,262144,[1],0.4116
liver_10,300,CT,0.8788,0.632,0.7496,0.2444,874,1076,685,262144,[1],0.3893
liver_10,301,CT,0.9074,0.8066,0.7878,0.2137,963,1241,818,262144,[1],0.4079
liver_10,302,CT,0.9084,0.6692,0.7956,0.1461,1128,1304,946,262144,[1],0.407
liver_10,303,CT,0.8933,0.6643,0.8753,0.5478,1291,1268,1042,262144,[1],0.3962
liver_10,304,CT,0.9001,0.6562,0.804,0.2982,1409,1643,1153,262144,[1],0.3997
liver_10,305,CT,0.9191,0.6393,0.81,0.3048,1524,1736,1296,262144,[1],0.3983
liver_10,306,CT,0.9608,0.906,0.8327,0.4121,1591,1912,1496,262144,[1],0.4082
liver_10,307,CT,0.9427,0.8054,0.846,0.3697,1816,2098,1642,262144,[1],0.4017
liver_10,308,CT,0.952,0.8682,0.8343,0.345,1973,2313,1815,262144,[1],0.3974
liver_10,309,CT,0.9607,0.8753,0.8763,0.4958,2088,2334,1957,262144,[1],0.3817
