image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
liver_0,45,CT,0.7445,0.2204,0.6722,0.3039,1872,2169,1110,262144,[1],0.628
liver_0,46,CT,0.9062,0.5857,0.9059,0.6953,2688,2076,2247,262144,[1],0.3424
liver_0,47,CT,0.8527,0.5415,0.8975,0.5521,3731,2877,3057,262144,[1],0.3396
liver_0,48,CT,0.7427,0.2991,0.7177,0.4889,7145,6945,4260,262144,[1],0.3451
liver_0,49,CT,0.7121,0.3009,0.8426,0.3743,12100,10107,8172,262144,[1],0.3409
liver_0,50,CT,0.8105,0.4938,0.941,0.5251,14765,10645,10095,262144,[1],0.3566
liver_0,51,CT,0.8462,0.513,0.9281,0.5514,15568,12766,11462,262144,[1],0.3461
liver_0,52,CT,0.8863,0.5579,0.9631,0.5176,16761,13003,13426,262144,[1],0.3558
liver_0,53,CT,0.8833,0.4368,0.9146,0.4496,18353,15972,14606,262144,[1],0.346
liver_0,54,CT,0.8884,0.4065,0.8468,0.3684,18583,20138,16060,262144,[1],0.354
liver_0,55,CT,0.8112,0.3013,0.904,0.4645,23558,18949,18033,262144,[1],0.349
liver_0,56,CT,0.7674,0.3184,0.6726,0.2702,27560,38325,20812,262144,[1],0.3562
liver_0,57,CT,0.8058,0.2514,0.8263,0.2967,28796,32098,23979,262144,[1],0.3478
liver_0,58,CT,0.8227,0.2806,0.9121,0.3379,25812,28778,26634,262144,[1],0.3508
liver_0,59,CT,0.9079,0.3836,0.9467,0.6169,31409,27440,29024,262144,[1],0.3484
liver_0,60,CT,0.9229,0.3944,0.9598,0.5219,35110,30084,30501,262144,[1],0.3544
liver_0,61,CT,0.9069,0.2863,0.9617,0.5824,36299,30544,31493,262144,[1],0.3477
liver_0,62,CT,0.9532,0.424,0.9649,0.65,35312,31319,32725,262144,[1],0.3499
liver_0,63,CT,0.9398,0.4142,0.973,0.7922,37492,32349,33384,262144,[1],0.3536
liver_0,64,CT,0.8505,0.2165,0.9676,0.4207,45700,31989,33854,262144,[1],0.3593
liver_0,65,CT,0.8559,0.2683,0.9587,0.5473,45329,33288,34317,262144,[1],0.3558
liver_0,66,CT,0.8556,0.1983,0.9653,0.5794,43529,31858,32758,262144,[1],0.3486
liver_0,67,CT,0.9087,0.2169,0.9295,0.3459,37361,27863,31162,262144,[1],0.3543
liver_0,68,CT,0.9077,0.0894,0.8676,0.4081,34510,24563,28691,262144,[1],0.3459
liver_0,69,CT,0.8896,0.1071,0.8593,0.3258,28056,18514,22486,262144,[1],0.3499
liver_0,70,CT,0.908,0.1943,0.8237,0.2444,21858,15890,18193,262144,[1],0.3481
liver_0,71,CT,0.7807,0.1029,0.8565,0.2357,17750,13217,12272,262144,[1],0.3572
liver_0,72,CT,0.6066,0.1412,0.8555,0.2679,5669,5109,4453,262144,[1],0.3456
liver_0,73,CT,0.8644,0.3677,0.5472,0.0629,1007,290,770,262144,[1],0.3456
liver_1,45,CT,0.2319,0.4516,0.2449,0.5556,61,41,8,262144,[1],0.3504
liver_1,46,CT,0.6277,0.4174,0.8384,0.6112,2294,1496,1147,262144,[1],0.3731
