image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
prostate_00,0,T2,0.4397,0.0,0.6622,0.3349,2026,1081,571,102400,"[1, 2]",0.599
prostate_00,1,T2,0.6094,0.0,0.623,0.0603,3895,3166,1707,102400,"[1, 2]",0.3137
prostate_00,2,T2,0.7148,0.0859,0.5733,0.0647,3727,3244,2073,102400,"[1, 2]",0.3107
prostate_00,3,T2,0.8183,0.0858,0.5585,0.1222,3275,3482,2420,102400,"[1, 2]",0.3211
prostate_00,4,T2,0.9213,0.5808,0.6776,0.0628,3246,3960,2817,102400,"[1, 2]",0.3201
prostate_00,5,T2,0.8712,0.2566,0.8149,0.0915,3950,4141,3070,102400,"[1, 2]",0.3153
prostate_00,6,T2,0.9179,0.2996,0.8081,0.1045,3695,4787,3306,102400,"[1, 2]",0.3121
prostate_00,7,T2,0.9203,0.1843,0.8177,0.1212,3644,4702,3308,102400,"[1, 2]",0.3223
prostate_00,8,T2,0.9181,0.4453,0.8191,0.094,3627,4603,3318,102400,"[1, 2]",0.3114
prostate_00,9,T2,0.9165,0.4641,0.8141,0.0188,3706,4602,3159,102400,"[1, 2]",0.3131
prostate_00,10,T2,0.892,0.3117,0.8087,0.0,3566,4431,3008,102400,"[1, 2]",0.3199
prostate_00,11,T2,0.7398,0.0714,0.7683,0.0438,3954,3721,2321,102400,[2],0.3125
prostate_00,12,T2,0.8066,0.1262,0.6638,0.0,1739,2369,1177,102400,[2],0.3178
prostate_00,13,T2,0.5198,0.0301,0.5013,0.0,1683,1767,591,102400,[2],0.3119
prostate_01,2,T2,0.2615,0.0,0.3864,0.0,1695,1065,255,102400,[2],0.3152
prostate_01,3,T2,0.3931,0.0,0.5577,0.0,3054,1932,747,102400,[2],0.3284
prostate_01,4,T2,0.6373,0.0244,0.5155,0.0531,2587,2852,1210,102400,"[1, 2]",0.3161
prostate_01,5,T2,0.6805,0.1623,0.4848,0.1726,3753,3463,1949,102400,"[1, 2]",0.3535
prostate_01,6,T2,0.7618,0.1248,0.6165,0.2014,4552,4791,2859,102400,"[1, 2]",0.3508
prostate_01,7,T2,0.8741,0.2877,0.7299,0.0824,5189,5695,4041,102400,"[1, 2]",0.342
prostate_01,8,T2,0.8895,0.1869,0.7163,0.0545,5777,5697,4629,102400,"[1, 2]",0.3159
prostate_01,9,T2,0.9031,0.2392,0.7206,0.1372,6202,5644,5155,102400,"[1, 2]",0.3192
prostate_01,10,T2,0.8659,0.1086,0.7972,0.0387,6953,7119,5309,102400,"[1, 2]",0.3154
prostate_01,11,T2,0.8771,0.2531,0.8445,0.0695,6925,7112,5452,102400,"[1, 2]",0.3316
prostate_01,12,T2,0.9142,0.3541,0.8336,0.173,6500,6834,5524,102400,"[1, 2]",0.3154
prostate_01,13,T2,0.8614,0.2391,0.8215,0.0899,7179,7070,5507,102400,"[1, 2]",0.3101
prostate_01,14,T2,0.777,0.0728,0.7544,0.1041,5428,5159,3473,102400,[2],0.3189
prostate_01,15,T2,0.7355,0.1209,0.6677,0.0817,4718,3660,2768,102400,[2],0.3103
prostate_01,16,T2,0.6377,0.1051,0.6276,0.1605,2434,2429,1220,102400,[2],0.3187
prostate_01,17,T2,0.4807,0.0,0.4933,0.0,1754,1695,555,102400,[2],0.3079
prostate_02,3,T2,0.4004,0.0,0.5103,0.0,2237,1635,560,102400,[2],0.3206
prostate_02,4,T2,0.514,0.1386,0.5859,0.0,2510,2102,871,102400,[2],0.3102
prostate_02,5,T2,0.5881,0.0573,0.6462,0.0,3366,2937,1402,102400,"[1, 2]",0.3134
prostate_02,6,T2,0.7287,0.1906,0.7264,0.0,3917,3975,2267,102400,"[1, 2]",0.3172
prostate_02,7,T2,0.7971,0.2996,0.7496,0.0,4485,4808,3002,102400,"[1, 2]",0.3155
prostate_02,8,T2,0.9546,0.6272,0.7538,0.0,3721,5665,3574,102400,"[1, 2]",0.3169
prostate_02,9,T2,0.8847,0.3812,0.7542,0.1046,5050,5631,4045,102400,"[1, 2]",0.3133
prostate_02,10,T2,0.8693,0.3947,0.7663,0.0502,5632,5371,4411,102400,"[1, 2]",0.3167
prostate_02,11,T2,0.8928,0.2031,0.7967,0.0369,5822,5658,4695,102400,"[1, 2]",0.3094
prostate_02,12,T2,0.9127,0.4687,0.797,0.0465,5585,5279,4721,102400,"[1, 2]",0.3159
prostate_02,13,T2,0.8938,0.4056,0.8277,0.0891,5688,5087,4769,102400,"[1, 2]",0.318
prostate_02,14,T2,0.8779,0.24,0.8145,0.0791,3977,5360,3787,102400,"[1, 2]",0.316
prostate_02,15,T2,0.7602,0.0,0.7752,0.0085,5901,5716,3618,102400,"[1, 2]",0.3214
prostate_02,16,T2,0.708,0.0609,0.7171,0.0161,4323,4238,2369,102400,[2],0.3205
prostate_02,17,T2,0.7766,0.2843,0.747,0.0471,3096,3390,2021,102400,[2],0.3185
prostate_02,18,T2,0.7746,0.1,0.7798,0.1307,2868,2837,1813,102400,[2],0.3131
prostate_02,19,T2,0.7881,0.0736,0.7663,0.1148,2542,2661,1653,102400,[2],0.3129
prostate_02,20,T2,0.5904,0.0,0.6356,0.0,2521,2267,1056,102400,[2],0.3225
prostate_04,1,T2,0.1388,0.0,0.2418,0.0,1287,698,96,102400,[2],0.3128
prostate_04,2,T2,0.547,0.0196,0.5984,0.0,3076,2712,1158,102400,[2],0.3231
prostate_04,3,T2,0.7274,0.1296,0.7291,0.0,5108,5120,2937,102400,[2],0.315
prostate_04,4,T2,0.9019,0.3038,0.758,0.1124,6195,7257,5094,102400,"[1, 2]",0.314
prostate_04,5,T2,0.877,0.1916,0.8049,0.0423,7028,7087,6001,102400,"[1, 2]",0.3146
prostate_04,6,T2,0.8931,0.2613,0.858,0.0808,7171,7430,7269,102400,"[1, 2]",0.3159
prostate_04,7,T2,0.871,0.2185,0.8456,0.0297,7461,7943,7630,102400,"[1, 2]",0.319
prostate_04,8,T2,0.8617,0.2211,0.8568,0.0509,7724,8358,7963,102400,"[1, 2]",0.3085
prostate_04,9,T2,0.8941,0.3319,0.8239,0.1154,9219,10206,7956,102400,"[1, 2]",0.3221
prostate_04,10,T2,0.851,0.1948,0.8275,0.0,10185,10726,7570,102400,"[1, 2]",0.3123
prostate_04,11,T2,0.8352,0.1456,0.8328,0.1057,10199,10225,7340,102400,"[1, 2]",0.3146
prostate_04,12,T2,0.8492,0.1938,0.8438,0.2084,7466,7921,7081,102400,"[1, 2]",0.3158
