image_id,slice_idx,modality,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,labels_present,slice_time_sec
colon_001,51,CT,0.0007,0.1136,0.4056,0.0462,1871,3281,841,262144,[1],0.6798
colon_001,52,CT,0.0,0.0076,0.5006,0.0534,1331,1935,646,262144,[1],0.3573
colon_001,53,CT,0.0,0.0085,0.3412,0.0,1417,1439,296,262144,[1],0.3593
colon_005,44,CT,0.2046,0.0,0.2973,0.0,2439,1592,278,262144,[1],0.3692
colon_005,50,CT,0.2047,0.0,0.2635,0.0,2368,1779,270,262144,[1],0.3584
colon_005,51,CT,0.3644,0.0,0.4376,0.0,3640,2896,811,262144,[1],0.3634
colon_005,52,CT,0.4898,0.0,0.5458,0.0,5257,4543,1705,262144,[1],0.3592
colon_005,53,CT,0.6444,0.0382,0.7198,0.1421,4505,3781,2143,262144,[1],0.3632
colon_005,54,CT,0.4562,0.0,0.5644,0.0,6206,4665,1834,262144,[1],0.357
colon_005,55,CT,0.5354,0.0,0.6594,0.0,6428,4778,2350,262144,[1],0.3591
colon_005,56,CT,0.4668,0.0124,0.6077,0.0468,6004,4188,1828,262144,[1],0.3575
colon_005,57,CT,0.0016,0.2131,0.4741,0.0274,1016,4603,1430,262144,[1],0.3552
colon_005,58,CT,0.0008,0.2569,0.4651,0.1414,1184,4195,1335,262144,[1],0.3628
colon_005,59,CT,0.0,0.123,0.2908,0.0621,1293,3222,774,262144,[1],0.3585
colon_005,60,CT,0.0,0.034,0.4041,0.162,1807,1298,454,262144,[1],0.3639
colon_006,12,CT,0.0072,0.0,0.0142,0.0,830,420,3,262144,[1],0.3665
colon_006,41,CT,0.0,0.0227,0.0064,0.0328,976,313,1,262144,[1],0.3685
colon_006,42,CT,0.4292,0.0207,0.512,0.0,3056,2427,835,262144,[1],0.3567
colon_006,43,CT,0.2636,0.0,0.3953,0.1818,2338,1431,355,262144,[1],0.3602
colon_007,38,CT,0.6121,0.3211,0.43,0.1179,1125,1822,499,262144,[1],0.3704
colon_007,39,CT,0.5236,0.2564,0.476,0.0755,1737,1972,616,262144,[1],0.3614
colon_007,40,CT,0.6294,0.3062,0.5711,0.2082,2548,2896,1173,262144,[1],0.3669
colon_007,41,CT,0.5842,0.3506,0.5899,0.1916,2653,2593,1096,262144,[1],0.3583
colon_007,42,CT,0.4912,0.463,0.3749,0.1007,1623,2286,531,262144,[1],0.3656
colon_007,43,CT,0.6297,0.4819,0.422,0.0,971,1690,452,262144,[1],0.3589
colon_007,44,CT,0.4699,0.45,0.3946,0.0,665,948,233,262144,[1],0.3658
colon_008,97,CT,0.3445,0.2616,0.3116,0.0,985,2433,449,262144,[1],0.3698
colon_008,98,CT,0.4275,0.3584,0.3575,0.0,1710,2247,489,262144,[1],0.3602
colon_008,99,CT,0.0,0.0129,0.2871,0.0636,1037,3111,539,262144,[1],0.3627
colon_008,100,CT,0.0,0.0,0.3751,0.0559,1241,2126,609,262144,[1],0.3562
colon_008,101,CT,0.0808,0.2593,0.0703,0.239,1446,1687,1301,262144,[1],0.3679
colon_008,102,CT,0.0575,0.3653,0.4725,0.0885,1265,3997,1379,262144,[1],0.3535
colon_008,103,CT,0.2071,0.3747,0.4016,0.0,2176,3713,933,262144,[1],0.3518
colon_008,104,CT,0.3057,0.2427,0.4052,0.0,2668,2373,603,262144,[1],0.3531
colon_008,105,CT,0.4234,0.0362,0.4076,0.0,3359,3524,902,262144,[1],0.3533
colon_008,106,CT,0.3775,0.0228,0.3911,0.0,3232,3094,752,262144,[1],0.3557
colon_008,107,CT,0.3525,0.0389,0.3737,0.0,2108,1963,451,262144,[1],0.3494
colon_008,108,CT,0.0,0.0,0.3769,0.0816,360,1393,337,262144,[1],0.3587
colon_009,51,CT,0.2791,0.0,0.3541,0.0,2824,2129,458,262144,[1],0.373
colon_009,52,CT,0.5514,0.3511,0.5505,0.0,3004,3036,1153,262144,[1],0.358
colon_009,53,CT,0.5448,0.0,0.6278,0.0,4626,3786,1732,262144,[1],0.3502
colon_009,54,CT,0.7146,0.0,0.7041,0.0,4513,4618,2509,262144,[1],0.3522
colon_009,55,CT,0.6004,0.0424,0.6751,0.0219,5354,4508,2297,262144,[1],0.3522
colon_009,56,CT,0.559,0.0,0.5558,0.0,5607,5652,2175,262144,[1],0.3639
colon_009,57,CT,0.6636,0.0568,0.7005,0.0137,5150,4743,2557,262144,[1],0.357
colon_009,58,CT,0.6584,0.0,0.7037,0.0,5255,4751,2579,262144,[1],0.3659
colon_009,59,CT,0.1156,0.1868,0.5474,0.0401,1271,3689,1393,262144,[1],0.3616
colon_009,60,CT,0.0,0.0526,0.3783,0.0,830,3292,768,262144,[1],0.3631
colon_011,58,CT,0.5261,0.2567,0.623,0.0895,1455,1975,898,262144,[1],0.3642
colon_011,59,CT,0.4701,0.0883,0.5036,0.1059,2993,2725,921,262144,[1],0.3606
colon_011,60,CT,0.5938,0.1101,0.6324,0.1536,3055,2796,1293,262144,[1],0.366
colon_011,61,CT,0.0103,0.1223,0.1804,0.1103,854,1331,509,262144,[1],0.3578
colon_011,62,CT,0.0,0.0677,0.1055,0.1751,1689,1850,216,262144,[1],0.3637
colon_011,63,CT,0.0,0.026,0.082,0.1553,1753,1778,173,262144,[1],0.3562
colon_012,55,CT,0.4782,0.0,0.441,0.0494,1833,2036,576,262144,[1],0.3737
colon_012,56,CT,0.4014,0.0573,0.5729,0.1896,2501,1526,628,262144,[1],0.3584
colon_012,57,CT,0.2025,0.2889,0.2839,0.1922,6496,7501,1396,262144,[1],0.3666
colon_012,58,CT,0.1992,0.0843,0.2816,0.1639,5813,6259,1035,262144,[1],0.3641
colon_012,59,CT,0.2224,0.1093,0.3968,0.1561,3621,5047,1298,262144,[1],0.3705
colon_012,60,CT,0.3403,0.0271,0.5218,0.1596,3184,4097,1518,262144,[1],0.3609
colon_012,61,CT,0.5577,0.17,0.5241,0.1305,3920,4280,1520,262144,[1],0.3749
colon_012,62,CT,0.503,0.2442,0.5364,0.0877,1639,3927,1677,262144,[1],0.3623
colon_012,63,CT,0.6268,0.1531,0.6021,0.0788,4476,4694,2056,262144,[1],0.3662
colon_012,64,CT,0.6456,0.0857,0.675,0.0328,3827,3598,1833,262144,[1],0.3637
colon_012,65,CT,0.6555,0.0654,0.5683,0.0531,2599,3192,1267,262144,[1],0.369
colon_012,66,CT,0.4264,0.0376,0.3931,0.0,2225,2465,603,262144,[1],0.3609
colon_015,2,CT,0.191,0.2327,0.1552,0.0,1250,1569,132,262144,[1],0.37
colon_015,3,CT,0.3616,0.3162,0.2652,0.0221,1364,1969,301,262144,[1],0.3615
colon_015,4,CT,0.4365,0.2042,0.3153,0.0,1472,2196,411,262144,[1],0.3622
colon_015,5,CT,0.5534,0.3141,0.3779,0.0,1341,2202,513,262144,[1],0.3591
colon_015,6,CT,0.6968,0.4737,0.5203,0.0,1060,1638,576,262144,[1],0.3614
colon_015,7,CT,0.7074,0.365,0.4922,0.0331,834,1403,458,262144,[1],0.362
colon_015,8,CT,0.6778,0.6224,0.4103,0.1172,744,1519,392,262144,[1],0.3621
colon_015,9,CT,0.6463,0.5969,0.4254,0.2214,752,1340,362,262144,[1],0.3577
colon_015,10,CT,0.6989,0.4286,0.5576,0.1352,855,1190,467,262144,[1],0.3602
colon_015,11,CT,0.8128,0.5333,0.5506,0.1102,669,1202,458,262144,[1],0.3579
colon_015,12,CT,0.4809,0.16,0.4026,0.1496,1093,1343,346,262144,[1],0.3788
colon_015,13,CT,0.2809,0.3034,0.3314,0.0,813,710,141,262144,[1],0.359
colon_022,33,CT,0.2466,0.2623,0.2733,0.2599,2734,1983,388,262144,[1],0.3687
colon_022,34,CT,0.0592,0.3167,0.289,0.2115,3024,2732,590,262144,[1],0.3623
colon_022,35,CT,0.4563,0.271,0.4332,0.0588,3638,3738,1091,262144,[1],0.3652
colon_022,36,CT,0.4168,0.2663,0.3994,0.1363,3704,4107,1051,262144,[1],0.3596
colon_022,37,CT,0.7047,0.198,0.6187,0.0391,4380,5352,2397,262144,[1],0.3633
colon_022,38,CT,0.5862,0.1538,0.6018,0.0386,4025,4108,1768,262144,[1],0.3606
colon_022,39,CT,0.6105,0.1555,0.6582,0.1408,4414,3871,1945,262144,[1],0.3598
colon_022,40,CT,0.5772,0.1872,0.5025,0.0809,3224,3715,1308,262144,[1],0.3597
colon_022,41,CT,0.5365,0.1033,0.5724,0.0214,3125,2871,1151,262144,[1],0.3618
colon_022,43,CT,0.0607,0.1016,0.3215,0.0167,1773,543,104,262144,[1],0.3657
colon_024,47,CT,0.1445,0.3021,0.345,0.0729,2129,1276,266,262144,[1],0.3667
colon_024,48,CT,0.2262,0.0,0.3849,0.1635,2643,1414,337,262144,[1],0.3657
colon_024,49,CT,0.2534,0.0,0.3898,0.165,3515,1922,510,262144,[1],0.3586
colon_024,50,CT,0.096,0.1782,0.4599,0.1993,1616,1808,571,262144,[1],0.3703
colon_024,51,CT,0.0624,0.22,0.5521,0.134,1687,2002,878,262144,[1],0.3594
colon_024,52,CT,0.47,0.2743,0.6856,0.0546,2899,2527,1318,262144,[1],0.3657
colon_024,53,CT,0.2192,0.0,0.2683,0.0,3169,2517,390,262144,[1],0.3578
colon_024,54,CT,0.5539,0.1928,0.5536,0.0178,3442,3451,1321,262144,[1],0.3669
colon_024,55,CT,0.5508,0.0,0.5729,0.0305,3765,3565,1431,262144,[1],0.3641
colon_024,56,CT,0.4548,0.0,0.4992,0.0,4954,4383,1458,262144,[1],0.3629
colon_024,57,CT,0.0,0.0045,0.6155,0.0,2213,3210,1427,262144,[1],0.3564
colon_024,58,CT,0.4029,0.0733,0.6539,0.059,4737,2491,1210,262144,[1],0.3641
colon_024,59,CT,0.074,0.2138,0.6358,0.0615,2199,2759,1286,262144,[1],0.3587
colon_024,60,CT,0.087,0.3444,0.6865,0.2038,2384,2955,1546,262144,[1],0.3679
colon_024,61,CT,0.4946,0.3337,0.7661,0.1761,2911,2212,1375,262144,[1],0.3616
colon_024,62,CT,0.454,0.0763,0.6502,0.1466,3884,2371,1142,262144,[1],0.364
colon_024,63,CT,0.409,0.2071,0.5413,0.283,2784,2108,800,262144,[1],0.3609
colon_024,64,CT,0.369,0.2817,0.4851,0.2956,2807,1881,667,262144,[1],0.3677
colon_025,44,CT,0.1759,0.028,0.2387,0.0541,2240,1594,216,262144,[1],0.3685
colon_025,45,CT,0.2415,0.1192,0.2931,0.1223,2709,2153,372,262144,[1],0.3583
colon_025,46,CT,0.3214,0.1752,0.3381,0.0368,2403,2402,491,262144,[1],0.3611
colon_025,47,CT,0.1578,0.0,0.2632,0.0,2743,1551,235,262144,[1],0.3562
colon_025,48,CT,0.0813,0.0,0.1214,0.0,2219,1454,94,262144,[1],0.364
colon_026,37,CT,0.2074,0.0659,0.2964,0.1083,3278,2091,473,262144,[1],0.3669
colon_026,38,CT,0.2762,0.0646,0.2987,0.0484,4886,4610,813,262144,[1],0.3685
colon_026,39,CT,0.4564,0.2111,0.4953,0.0,4494,4040,1330,262144,[1],0.3596
colon_026,40,CT,0.342,0.0,0.662,0.2429,4708,1890,971,262144,[1],0.3663
colon_026,41,CT,0.2608,0.0,0.6311,0.2653,5194,1661,779,262144,[1],0.3645
colon_026,42,CT,0.2405,0.0,0.4683,0.0816,4587,2051,627,262144,[1],0.3645
colon_026,43,CT,0.3235,0.0,0.422,0.0232,2824,2038,545,262144,[1],0.3598
colon_026,44,CT,0.2985,0.1187,0.6125,0.2154,3403,1300,597,262144,[1],0.3689
colon_026,45,CT,0.2421,0.0461,0.5652,0.1929,2745,956,378,262144,[1],0.3594
colon_026,46,CT,0.1541,0.0442,0.1678,0.128,2013,1000,168,262144,[1],0.3606
colon_027,16,CT,0.275,0.0,0.5083,0.0,3946,1846,629,262144,[1],0.3667
colon_027,17,CT,0.4554,0.0,0.7163,0.0691,6496,3421,1915,262144,[1],0.369
colon_027,18,CT,0.663,0.1328,0.7368,0.0947,8201,6965,4067,262144,[1],0.36
colon_027,19,CT,0.6408,0.2059,0.7343,0.0338,10599,8625,5004,262144,[1],0.3683
colon_027,20,CT,0.5754,0.0445,0.6495,0.0771,13646,11460,5512,262144,[1],0.3585
colon_027,21,CT,0.3065,0.0122,0.3489,0.0277,14644,12535,2650,262144,[1],0.3679
colon_027,22,CT,0.5663,0.2594,0.4837,0.0265,3111,3909,1247,262144,[1],0.3642
colon_027,23,CT,0.4551,0.1842,0.301,0.1361,3840,2542,1139,262144,[1],0.3642
colon_027,24,CT,0.3222,0.2873,0.6343,0.1993,2393,2039,947,262144,[1],0.3573
colon_027,25,CT,0.0,0.1583,0.5802,0.1775,1159,1942,795,262144,[1],0.3666
colon_027,26,CT,0.0246,0.1214,0.3265,0.0,1312,2030,396,262144,[1],0.3582
colon_027,27,CT,0.0,0.1978,0.2523,0.0704,1003,1301,189,262144,[1],0.3607
colon_028,33,CT,0.0,0.0325,0.3113,0.2333,1549,1272,257,262144,[1],0.3613
colon_028,34,CT,0.0276,0.1546,0.1952,0.1748,2774,1837,489,262144,[1],0.3708
colon_028,35,CT,0.0,0.0149,0.2991,0.0913,2970,1739,541,262144,[1],0.3546
colon_028,36,CT,0.0,0.0594,0.4311,0.263,2659,2307,648,262144,[1],0.365
colon_028,37,CT,0.5947,0.2472,0.5608,0.208,2525,2615,1144,262144,[1],0.3575
colon_028,38,CT,0.0,0.0481,0.5849,0.1048,1537,2649,1095,262144,[1],0.3616
colon_028,39,CT,0.0653,0.2155,0.2603,0.0,1434,2079,311,262144,[1],0.3602
colon_029,9,CT,0.3403,0.0,0.3952,0.0256,4862,4049,997,262144,[1],0.3712
colon_029,10,CT,0.6117,0.0,0.5508,0.0,3275,3797,1443,262144,[1],0.3614
colon_029,11,CT,0.6251,0.0,0.6844,0.1481,3319,2895,1509,262144,[1],0.3583
colon_029,12,CT,0.5187,0.0,0.5458,0.0,4455,4156,1560,262144,[1],0.3594
colon_029,13,CT,0.4526,0.038,0.5272,0.0,5593,4570,1636,262144,[1],0.3599
colon_029,14,CT,0.6715,0.1262,0.7221,0.0,4459,3989,2254,262144,[1],0.3595
colon_029,15,CT,0.6894,0.1074,0.8019,0.0051,4933,3877,2595,262144,[1],0.3649
colon_029,16,CT,0.639,0.103,0.6108,0.0354,6262,6707,2949,262144,[1],0.3601
colon_029,17,CT,0.6868,0.1301,0.7699,0.1392,5448,4516,2849,262144,[1],0.3673
colon_029,18,CT,0.7311,0.0477,0.8073,0.0835,5344,4549,3079,262144,[1],0.3605
colon_029,19,CT,0.7844,0.0929,0.8001,0.0805,4874,4682,3145,262144,[1],0.3647
colon_029,20,CT,0.7689,0.147,0.7655,0.0996,4362,4386,2726,262144,[1],0.3645
colon_029,21,CT,0.6267,0.1467,0.5795,0.1683,3808,4221,1933,262144,[1],0.366
colon_029,22,CT,0.4819,0.1183,0.4411,0.0347,3500,3941,1115,262144,[1],0.3589
colon_029,23,CT,0.5462,0.1371,0.4703,0.069,3051,3760,1156,262144,[1],0.3808
colon_030,48,CT,0.3717,0.0837,0.4933,0.0969,1853,1292,423,262144,[1],0.3624
colon_030,49,CT,0.6115,0.2826,0.639,0.1876,2276,3837,1894,262144,[1],0.3654
colon_030,50,CT,0.6368,0.2556,0.616,0.0926,4891,5425,2439,262144,[1],0.3609
colon_030,51,CT,0.5917,0.1617,0.6445,0.1381,5978,5276,2526,262144,[1],0.3647
colon_030,52,CT,0.7009,0.3889,0.7299,0.3075,6745,6331,3668,262144,[1],0.3623
colon_030,53,CT,0.6106,0.116,0.6588,0.0464,7250,6686,3284,262144,[1],0.3699
colon_030,54,CT,0.5583,0.086,0.6174,0.0511,7736,6687,2996,262144,[1],0.3609
colon_030,55,CT,0.7217,0.1671,0.6688,0.1598,8263,9272,4667,262144,[1],0.3659
colon_030,56,CT,0.8451,0.1784,0.8043,0.1272,8369,9125,6138,262144,[1],0.3586
colon_030,57,CT,0.8055,0.2489,0.7645,0.0473,8524,9290,5748,262144,[1],0.3676
colon_030,58,CT,0.7759,0.1851,0.7143,0.0055,7705,8817,4899,262144,[1],0.3647
colon_030,59,CT,0.7529,0.2527,0.6761,0.0885,6885,8028,4160,262144,[1],0.3674
colon_030,60,CT,0.6332,0.2506,0.6981,0.0586,5222,5741,3470,262144,[1],0.3572
colon_030,61,CT,0.0,0.0367,0.6495,0.1703,1232,4470,2351,262144,[1],0.3614
colon_030,62,CT,0.6238,0.4718,0.5903,0.0765,3852,4201,1759,262144,[1],0.3575
colon_030,63,CT,0.0022,0.0,0.0038,0.0,895,523,1,262144,[1],0.3696
colon_031,57,CT,0.5704,0.4015,0.6551,0.252,614,503,245,262144,[1],0.371
colon_031,58,CT,0.5611,0.3482,0.3949,0.0909,477,756,186,262144,[1],0.3626
colon_031,59,CT,0.3073,0.0,0.309,0.1545,727,593,132,262144,[1],0.3612
colon_031,60,CT,0.3043,0.1101,0.4407,0.1525,1332,714,239,262144,[1],0.3604
colon_031,61,CT,0.6331,0.3529,0.3801,0.2013,421,810,195,262144,[1],0.3558
colon_031,62,CT,0.5344,0.1257,0.2801,0.1056,617,1139,225,262144,[1],0.365
colon_031,63,CT,0.722,0.3235,0.3732,0.1486,531,1281,300,262144,[1],0.3602
colon_031,64,CT,0.6496,0.3962,0.6344,0.2443,871,902,419,262144,[1],0.359
colon_031,65,CT,0.6635,0.3333,0.663,0.2169,840,841,417,262144,[1],0.355
colon_031,66,CT,0.5414,0.3609,0.2987,0.15,826,1366,308,262144,[1],0.3597
