task,labels,bbox,modality,labels_present,dice_sam,nsd_sam,dice_medsam,nsd_medsam,sam_pixels,medsam_pixels,foreground_pixels,total_pixels,slice_time_sec
Task02_Heart,1,10,MRI,1.0,0.6360887490747594,0.34315299777942265,0.6345119911176905,0.42356713545521835,1109.6054774241302,981.5151739452258,692.0910436713546,102400.0,0.3228924500370096
Task06_Lung,1,20,CT,1.0,0.38656466221232366,0.28167995545657015,0.3518870081662955,0.04991046770601336,1605.2375649591686,2799.8582034149963,1173.2190051967334,262144.0,0.36462442464736455
Task08_HepaticVessel,"1, 2",15,CT,1.4345088161209067,0.23753419395465994,0.06301360201511336,0.27087342569269524,0.07867323677581863,11798.70088161209,12365.790931989925,3264.740554156171,262144.0,0.3708241813602015
Task02_Heart,1,5,MRI,1.0,0.704759955588453,0.4652316802368616,0.7055271650629165,0.5709347890451518,906.1843079200593,728.2383419689119,692.0910436713546,102400.0,0.31506972612879347
Task08_HepaticVessel,"1, 2",5,CT,1.4345088161209067,0.27764231738035267,0.09474181360201511,0.3075426322418136,0.13699275818639797,8785.269521410579,9568.519521410579,3264.740554156171,262144.0,0.3503995591939547
Task07_Pancreas,"1, 2",5,CT,1.3199233716475096,0.743249680715198,0.3552441890166028,0.7260669859514687,0.27310089399744575,2632.1877394636017,2620.1762452107278,2200.286079182631,262144.0,0.34848058748403576
Task09_Spleen,1,0,CT,1.0,0.9030206470028544,0.5816767840152236,0.8236891531874406,0.41040190294957185,4398.747859181732,3794.803996194101,3985.7583254043766,262144.0,0.3549729781160799
Task05_Prostate,"1, 2",15,T2,1.6357894736842105,0.7526783157894736,0.16938484210526317,0.7070953684210527,0.066128,4720.404210526316,4831.016842105263,3437.221052631579,99623.34315789473,0.31629052631578947
Task07_Pancreas,"1, 2",0,CT,1.2876478616924476,0.7750617151956324,0.47768859190172885,0.6251343835304823,0.22825110327570522,2012.044244767971,1723.8361010009098,1737.1793676069153,262144.0,0.5810730891719745
Task08_HepaticVessel,"1, 2",0,CT,1.3403342020542695,0.25802426030967346,0.18106811283151925,0.21481667944197452,0.11019161428790433,5766.74474934846,6859.90058255404,1803.3827226736164,262144.0,0.45084386785221525
Task07_Pancreas,"1, 2",20,CT,1.3199233716475096,0.5631567688378033,0.21678697318007664,0.5822402298850575,0.1215176883780332,4174.777777777777,5175.3269476372925,2200.286079182631,262144.0,0.36243818646232434
Task05_Prostate,"1, 2",10,T2,1.6357894736842105,0.8047435789473684,0.23133536842105262,0.7974614736842105,0.13025726315789474,4264.829473684211,4020.28,3437.221052631579,99623.34315789473,0.3286103157894737
Task09_Spleen,1,5,CT,1.0,0.856423311132255,0.49211455756422456,0.873502093244529,0.508503044719315,4553.469077069458,4436.961941008563,3985.7583254043766,262144.0,0.34957944814462416
Task08_HepaticVessel,"1, 2",10,CT,1.4345088161209067,0.25475321158690173,0.07642984886649874,0.2927956549118388,0.11527468513853904,10217.025818639799,10930.928841309824,3264.740554156171,262144.0,0.37390824937027706
Task02_Heart,1,15,MRI,1.0,0.5490762398223539,0.23553523316062178,0.47112916358253143,0.19943501110288678,1439.222057735011,1467.0155440414508,692.0910436713546,102400.0,0.31427868245743895
Task02_Heart,1,0,MRI,1.0,0.7727310880829015,0.6611149518874907,0.6228512953367875,0.41323219837157654,760.9748334566988,510.6380458919319,692.0910436713546,102400.0,0.4291150259067358
Task02_Heart,1,3,MRI,1.0,0.7300128053293856,0.5233774241302739,0.7041772020725389,0.571422131754256,847.3123612139157,660.0754996299038,692.0910436713546,102400.0,0.31836720947446334
Task09_Spleen,1,15,CT,1.0,0.6676198858230257,0.30940875356803044,0.8130069457659371,0.3119952426260704,4792.561370123692,5509.256898192198,3985.7583254043766,262144.0,0.3611065651760228
Task03_Liver,1,15,CT,1.0,0.7356989945538333,0.278375219941349,0.6839728110599078,0.16416964809384166,19869.759111855885,21125.438416422287,17386.16401340595,262144.0,0.39355735232509426
Task10_Colon,1,20,CT,1.0,0.4567877323420074,0.14194553903345725,0.5153618959107806,0.07004591078066914,3304.057620817844,3164.442379182156,1347.2881040892194,262144.0,0.36334814126394055
Task03_Liver,2,15,CT,1.0,0.3404162601626016,0.07437054041128648,0.421983931133429,0.09182955523672884,7623.864179818269,8118.819225251076,2969.0717360114777,262144.0,0.3630556671449067
Task07_Pancreas,"1, 2",3,CT,1.3199233716475096,0.7628438697318007,0.37884272030651334,0.7047048531289909,0.24587899106002553,2467.6558109833973,2389.1954022988507,2200.286079182631,262144.0,0.35204406130268195
Task04_Hippocampus,"1, 2",15,MRI,1.3315749811605124,0.20311137905048982,0.05488786737000753,0.24412690278824417,0.23679005275056517,957.8553127354936,500.63376036171815,128.71590052750565,1777.1657874905802,0.2988807083647325
Task08_HepaticVessel,"1, 2",3,CT,1.4345088161209067,0.2910038413098237,0.11744445843828716,0.31065717884130983,0.14641926952141057,8270.843198992443,9044.590050377834,3264.740554156171,262144.0,0.35514534005037784
Task03_Liver,2,10,CT,1.0,0.39304839789574364,0.09340153036824486,0.4749726446676231,0.16715174557627932,7065.449545671927,7369.158775705404,2969.0717360114777,262144.0,0.3504803443328551
Task09_Spleen,1,3,CT,1.0,0.8772920076117982,0.5214758325404377,0.8678005708848715,0.5153370123691723,4505.490960989534,4229.502378686965,3985.7583254043766,262144.0,0.34694709800190293
Task04_Hippocampus,"1, 2",10,MRI,1.3315749811605124,0.24349984928409948,0.12896767143933685,0.3106454408440091,0.2879193669932178,654.723436322532,374.8696307460437,128.71590052750565,1777.1657874905802,0.30721446872645064
